"","CASE_ID","GPS_NAC_ADOPTER","SURVEY_SOURCE","STATE","HOME","INST_QOTE_LSE_TEXT_CLND","MOTIVE1","MOTIVE2","MOTIVE3","MOTIVE4","MOTIVE5"
"480",1822,3,2,4,NA,0,4,1,1,5,4
"481",1823,3,2,4,NA,0,5,4,5,5,98
"482",1824,3,2,4,NA,1,5,5,5,5,5
"483",1825,3,2,2,NA,1,3,5,3,1,3
"484",1826,3,2,4,NA,0,5,5,3,99,4
"485",1827,3,2,4,NA,0,4,5,2,5,4
"486",1828,3,2,1,NA,3,5,5,5,5,5
"487",1829,3,2,4,NA,0,5,5,2,4,3
"488",1830,3,2,1,NA,0,5,4,4,4,4
"489",1831,3,2,4,NA,1,5,1,3,5,3
"490",1832,3,2,4,NA,0,5,3,4,5,4
"491",1833,3,2,4,NA,0,5,5,2,5,5
"492",1834,3,2,4,NA,0,5,5,2,5,4
"493",1835,3,2,2,NA,1,5,5,3,4,2
"494",1836,3,2,4,NA,2,5,1,5,3,2
